,Max virus (increase),Max Virus (decrease),Max dead cells (increase),Max dead cells (decrease),Min tissue (increase),Min tissue (decrease),Max inflam. macs (increase),Max inflam. macs (decrease),Max T cells (increase),Max T cells (decrease),Max IL-6 (increase),Max IL-6 (decreased),Max IFN I (increased),Max IFN I (decreased),IFN I exposure (increase),IFN I exposure (decrease)
del_I_K,-0.001133657,0.001136866,-0.002276256,0.002288735,0.000560775,-0.000568348,-0.000629062,0.000631149,-0.002639406,0.002661607,-0.000587224,0.000587295,-0.000148887,0.000149255,-0.005168535,0.005210999
del_T_K,5.46E-06,-5.46E-06,-3.18E-05,3.18E-05,-6.54E-06,6.54E-06,3.86E-06,-3.86E-06,-0.000256983,0.000257119,3.58E-06,-3.58E-06,8.26E-07,-8.26E-07,0.000132089,-0.00013684
eps_K_L,-0.000279274,0.000300845,-0.000789494,0.000849152,0.000142169,-0.000153488,-0.000146097,0.000157558,-0.000662892,0.000716218,-0.000136276,0.000146943,-3.57E-05,3.86E-05,-0.000486504,0.000529087
eps_I_K,0.001051877,-0.00115586,0.002118131,-0.002321617,-0.000525517,0.000571649,0.000584033,-0.000641449,0.002461286,-0.002690139,0.000543453,-0.0005988,0.000138113,-0.000151816,0.004817893,-0.005264759
eps_T_K,-5.11E-06,5.64E-06,2.97E-05,-3.28E-05,6.11E-06,-6.74E-06,-3.61E-06,3.98E-06,0.000240184,-0.000264803,-3.35E-06,3.69E-06,-7.72E-07,8.52E-07,-0.000127848,0.000136273
eps_K_A,1.63E-05,-1.79E-05,4.24E-06,-4.48E-06,-1.74E-05,1.91E-05,9.59E-06,-1.06E-05,5.56E-05,-6.12E-05,8.96E-06,-9.86E-06,2.22E-06,-2.45E-06,0.000106026,-0.000117542
p_K_A,-1.79E-05,1.79E-05,-5.07E-06,5.20E-06,1.92E-05,-1.92E-05,-1.05E-05,1.05E-05,-6.16E-05,6.15E-05,-9.82E-06,9.82E-06,-2.44E-06,2.44E-06,-0.000116965,0.00011656
p_K,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d_K,0.000335428,-0.000337182,5.77E-05,-1.86E-05,-0.000336846,0.000338361,0.000218432,-0.000218827,0.000942972,-0.000958384,0.000203098,-0.000203946,4.81E-05,-4.81E-05,0.002993117,-0.003165161
KR,-0.000334614,0.000335558,-6.65E-05,6.45E-05,0.000335185,-0.000336838,-0.000217536,0.000218582,-0.00093648,0.000940484,-0.00020272,0.000203235,-4.78E-05,4.81E-05,-0.002977317,0.003002213
Gamma_U_0,-1.71E-05,1.72E-05,-2.06E-05,2.07E-05,1.59E-05,-1.59E-05,-1.24E-05,1.25E-05,-1.48E-05,1.48E-05,-1.15E-05,1.15E-05,-2.57E-06,2.57E-06,-2.49E-06,2.49E-06
Gamma_B_0,-2.70E-08,2.70E-08,-3.25E-08,3.25E-08,2.44E-08,-2.44E-08,-1.93E-08,1.93E-08,-2.33E-08,2.33E-08,-1.78E-08,1.78E-08,-4.02E-09,4.02E-09,-5.34E-09,5.34E-09
p_Gamma_T,-0.005260911,0.005496605,-0.006500426,0.006807828,0.006009431,-0.006284717,-0.003829328,0.003983674,-0.004645413,0.004855124,-0.003533047,0.003674197,-0.000801993,0.00083029,-0.000966703,0.000858462
eta_Gamma_T,0.002580944,-0.002652527,0.003221619,-0.003307864,-0.002999215,0.003082917,0.001859606,-0.001914845,0.002308257,-0.002372295,0.001715924,-0.001767219,0.000389859,-0.000402444,0.000473941,-0.000524873
p_Gamma_K,-0.002187967,0.002228104,-0.002729294,0.002782572,0.002548416,-0.002596846,-0.001577685,0.001603433,-0.001950639,0.001987158,-0.001456072,0.001479656,-0.000331648,0.000336428,-0.000390892,0.000374745
eta_Gamma_K,0.001723286,-0.001840869,0.002151642,-0.002296279,-0.002007854,0.00214373,0.001240566,-0.001327359,0.001536787,-0.001641134,0.001144813,-0.001225021,0.000260326,-0.000278962,0.000289788,-0.000326122
